sample_id,pop,origin,data type,,,,,
Sm_BR_PdV_2196_2.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_055_8_1.hc.vcf.gz,Tanzania
Sm_BR_PdV_2225_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_074N_3_2.hc.vcf.gz,Tanzania
Sm_BR_PdV_2227_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_074N_4_1.hc.vcf.gz,Tanzania
Sm_BR_PdV_2265_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_074N_6_3.hc.vcf.gz,Tanzania
Sm_BR_PdV_2290_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_074N_7_2.hc.vcf.gz,Tanzania
Sm_BR_PdV_2300_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_077_2_1.hc.vcf.gz,Tanzania
Sm_BR_PdV_2334_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_077_3_1.hc.vcf.gz,Tanzania
Sm_BR_PdV_2368_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_077_5_1.hc.vcf.gz,Tanzania
Sm_BR_PdV_2406_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_077_7_3.hc.vcf.gz,Tanzania
Sm_BR_PdV_2406_1_rep.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_077_8_1.hc.vcf.gz,Tanzania
Sm_BR_PdV_2422_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_077_9_2.hc.vcf.gz,Tanzania
Sm_BR_PdV_2450_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_086_1_1.hc.vcf.gz,Tanzania
Sm_BR_PdV_2456_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_086_2_3.hc.vcf.gz,Tanzania
Sm_BR_PdV_2481_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_086_3_1.hc.vcf.gz,Tanzania
Sm_BR_PdV_2489_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_086_4_2.hc.vcf.gz,Tanzania
Sm_BR_PdV_2508_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_086_5_1.hc.vcf.gz,Tanzania
Sm_BR_PdV_2516_2.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_086_6_1.hc.vcf.gz,Tanzania
Sm_BR_PdV_2519_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_086_7_1.hc.vcf.gz,Tanzania
Sm_BR_PdV_2530_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_086_8_1.hc.vcf.gz,Tanzania
Sm_BR_PdV_2538_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_134_1_1.hc.vcf.gz,Tanzania
Sm_BR_PdV_2546_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_134_6_1.hc.vcf.gz,Tanzania
Sm_BR_PdV_2556_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_141_3_1.hc.vcf.gz,Tanzania
Sm_BR_PdV_2577_1.hc.vcf.gz,Brazil,Field,exome,,,,Sm_TZ_141_5_3.hc.vcf.gz,Tanzania
Sm_BR_PdV_4293_2.hc.vcf.gz,Brazil,Field,exome,,,,sm_102_S35,LE
Sm_NE_Di105_1.hc.vcf.gz,Niger,Field,exome,,,,sm_105_S77,LE
Sm_NE_Di148_1.hc.vcf.gz,Niger,Field,exome,,,,sm_113_S19,LE
Sm_NE_Di158_1.hc.vcf.gz,Niger,Field,exome,,,,sm_114_S85,LE
Sm_NE_Di186_1.hc.vcf.gz,Niger,Field,exome,,,,sm_115_S16,LE
Sm_NE_Di238_1.hc.vcf.gz,Niger,Field,exome,,,,sm_116_S88,LE
Sm_NE_Di263_2.hc.vcf.gz,Niger,Field,exome,,,,sm_117_S81,LE
Sm_NE_Di297_1.hc.vcf.gz,Niger,Field,exome,,,,sm_119_S1,LE
Sm_NE_Di297_2.hc.vcf.gz,Niger,Field,exome,,,,sm_11_S74,OR
Sm_NE_Di68_2.hc.vcf.gz,Niger,Field,exome,,,,sm_124_S13,EG
Sm_NE_Na376_2.hc.vcf.gz,Niger,Field,exome,,,,sm_125_S79,EG
Sm_NE_Na381_1.hc.vcf.gz,Niger,Field,exome,,,,sm_133_S73,EG
Sm_NE_Na39_1.hc.vcf.gz,Niger,Field,exome,,,,sm_140_S30,EG
Sm_NE_Na40_1.hc.vcf.gz,Niger,Field,exome,,,,sm_144_S23,EG
sm_nmri_1_S7,NMRI,Lab,WGA,,,,sm_150_S27,EG
sm_nmri_10_S9,NMRI,Lab,WGA,,,,sm_152_S86,EG
sm_nmri_11_S16,NMRI,Lab,WGA,,,,sm_156_S2,EG
sm_nmri_12_S21,NMRI,Lab,WGA,,,,sm_157_S20,EG
sm_nmri_13_S11,NMRI,Lab,WGA,,,,sm_15_S78,OR
sm_nmri_14_S14,NMRI,Lab,WGA,,,,sm_162_S26,EG
sm_nmri_15_S19,NMRI,Lab,WGA,,,,sm_16_S76,OR
sm_nmri_16_S10,NMRI,Lab,WGA,,,,sm_173_S36,EG
sm_nmri_17_S4,NMRI,Lab,WGA,,,,sm_175_S9,EG
sm_nmri_18_S3,NMRI,Lab,WGA,,,,sm_176_S15,EG
sm_nmri_19_S5,NMRI,Lab,WGA,,,,sm_177_S84,EG
sm_nmri_20_S1,NMRI,Lab,WGA,,,,sm_18_S29,OR
sm_nmri_22_S2,NMRI,Lab,WGA,,,,sm_19_S18,OR
sm_nmri_23_S12,NMRI,Lab,WGA,,,,sm_20_S80,OR
sm_nmri_24_S18,NMRI,Lab,WGA,,,,sm_22_S83,OR
sm_nmri_3_S8,NMRI,Lab,WGA,,,,sm_23_S22,OR
sm_nmri_5_S17,NMRI,Lab,WGA,,,,sm_36_S87,BRE
sm_nmri_6_S6,NMRI,Lab,WGA,,,,sm_3_S24,OR
sm_nmri_7_S20,NMRI,Lab,WGA,,,,sm_46_S4,BRE
sm_nmri_8_S13,NMRI,Lab,gDNA,,,,sm_47_S11,BRE
sm_nmri_9_S15,NMRI,Lab,WGA,,,,sm_49,BRE
sm_senegal.hc.vcf.gz,Senegal,Field,exome,,,,sm_4_S12,OR
Sm_SN_Nd103_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_5,OR
Sm_SN_Nd109_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_53_S82,BRE
Sm_SN_Nd114_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_54_S21,BRE
Sm_SN_Nd115_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_57_S8,BRE
Sm_SN_Nd18_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_62_S25,BRE
Sm_SN_Nd22_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_64_S14,BRE
Sm_SN_Nd24_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_67_S3,BRE
Sm_SN_Nd25_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_69_S28,BRE
Sm_SN_Nd34_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_73_S71,BRE
Sm_SN_Nd43_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_77_S75,BRE
Sm_SN_Nd47_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_78_S33,BRE
Sm_SN_Nd5_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_82_S32,BRE
Sm_SN_Nd5_2.hc.vcf.gz,Senegal,Field,exome,,,,sm_85_S31,LE
Sm_SN_Nd50_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_87_S37,LE
Sm_SN_Nd54_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_88_S6,LE
Sm_SN_Nd56_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_89_S17,LE
Sm_SN_Nd6_1s_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_91_S10,LE
Sm_SN_Nd6_2_3.hc.vcf.gz,Senegal,Field,exome,,,,sm_94_S72,LE
Sm_SN_Nd77_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_9_S5,OR
Sm_SN_Nd79_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_nmri_10_S9,NMRI
Sm_SN_Nd9_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_nmri_11_S16,NMRI
Sm_SN_Nd90_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_nmri_12_S21,NMRI
Sm_SN_Nd90_2s_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_nmri_15_S19,NMRI
Sm_SN_Te26_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_nmri_16_S10,NMRI
Sm_SN_Te3_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_nmri_17_S4,NMRI
Sm_SN_Te49_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_nmri_18_S3,NMRI
Sm_SN_Te55_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_nmri_19_S5,NMRI
Sm_SN_Te68_1.hc.vcf.gz,Senegal,Field,exome,,,,sm_nmri_1_S7,NMRI
Sm_SN_Te78_2.hc.vcf.gz,Senegal,Field,exome,,,,sm_nmri_20_S1,NMRI
Sm_TZ_009_1_1.hc.vcf.gz,Tanzania,Field,exome,,,,sm_nmri_22_S2,NMRI
Sm_TZ_009_10_1.hc.vcf.gz,Tanzania,Field,exome,,,,sm_nmri_23_S12,NMRI
Sm_TZ_009_2_2.hc.vcf.gz,Tanzania,Field,exome,,,,sm_nmri_24_S18,NMRI
Sm_TZ_009_3_1.hc.vcf.gz,Tanzania,Field,exome,,,,sm_nmri_3_S8,NMRI
Sm_TZ_009_4_2.hc.vcf.gz,Tanzania,Field,exome,,,,sm_nmri_5_S17,NMRI
Sm_TZ_009_5_2.hc.vcf.gz,Tanzania,Field,exome,,,,sm_nmri_6_S6,NMRI
Sm_TZ_009_6_1.hc.vcf.gz,Tanzania,Field,exome,,,,sm_nmri_7_S20,NMRI
Sm_TZ_009_7_1.hc.vcf.gz,Tanzania,Field,exome,,,,sm_nmri_8_S13,NMRI
Sm_TZ_009_8_2.hc.vcf.gz,Tanzania,Field,exome,,,,sm_nmri_9_S15,NMRI
Sm_TZ_009_9_1.hc.vcf.gz,Tanzania,Field,exome,,,,sm_senegal.hc.vcf.gz,Senegal
Sm_TZ_055_1_3.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_055_10_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_055_2_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_055_3_2.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_055_5_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_055_6_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_055_7_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_055_8_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
